age,sex,cell_type,n_actual_hf_cells,n_top100_degs,n_seeds,R2_all_HVGs,R2_top100_DEGs,r2_all_hvgs_mean,r2_all_hvgs_sd,r2_top100_degs_mean,r2_top100_degs_sd,r2_all_seed0,r2_deg_seed0,r2_all_seed1,r2_deg_seed1,r2_all_seed2,r2_deg_seed2,r2_all_seed3,r2_deg_seed3,r2_all_seed4,r2_deg_seed4
8W,M,Mesothelial_Cells,193,100,5,0.700 ± 0.252,0.686 ± 0.176,0.7001,0.2524,0.6865,0.1759,0.8906,0.7961,0.5494,0.5644,0.3382,0.4685,0.9415,0.9083,0.7806,0.6951
8W,M,NK_Cells,25,100,5,0.658 ± 0.101,0.565 ± 0.149,0.6584,0.1012,0.5648,0.1493,0.8369,0.8281,0.6308,0.5175,0.5879,0.4563,0.6257,0.5063,0.6106,0.5158
8W,M,Dendritic_Cells,14,100,5,0.461 ± 0.008,0.208 ± 0.021,0.4606,0.0083,0.2076,0.0208,0.4474,0.1765,0.4679,0.2141,0.4584,0.2143,0.4666,0.2327,0.4627,0.2003
8W,M,SMCs,8,100,5,0.437 ± 0.032,0.341 ± 0.012,0.4372,0.0319,0.3409,0.012,0.4866,0.3559,0.4404,0.3419,0.4162,0.3489,0.403,0.3301,0.4397,0.3279
8W,M,Neuronal_Cells,22,100,5,0.391 ± 0.021,0.652 ± 0.021,0.3914,0.021,0.6524,0.0212,0.3887,0.6699,0.4077,0.6761,0.358,0.6327,0.392,0.6293,0.4107,0.6541
8W,M,Monocytes,4,100,5,0.296 ± 0.010,0.310 ± 0.028,0.2965,0.0096,0.3099,0.0281,0.2864,0.3126,0.3085,0.3376,0.2869,0.2638,0.3006,0.3096,0.3001,0.3259
8W,F,ECs_Cap,541,100,5,0.963 ± 0.006,0.972 ± 0.015,0.9631,0.0064,0.972,0.0153,0.9621,0.9777,0.972,0.9766,0.9615,0.9805,0.9543,0.9448,0.9655,0.9805
8W,F,Fibroblasts_Bmper+,163,100,5,0.956 ± 0.007,0.914 ± 0.028,0.9563,0.0068,0.9141,0.0275,0.9636,0.9476,0.9548,0.9127,0.9458,0.8713,0.9572,0.9187,0.9603,0.9204
8W,F,Fibroblasts_Bmper+_Nrxn1+,469,100,5,0.948 ± 0.012,0.916 ± 0.029,0.948,0.0124,0.916,0.0288,0.962,0.9448,0.945,0.9081,0.9462,0.9404,0.9298,0.8733,0.9569,0.9133
8W,F,Adipocytes_2,156,100,5,0.948 ± 0.019,0.929 ± 0.021,0.9479,0.0186,0.9294,0.0206,0.9514,0.9318,0.9622,0.942,0.9623,0.9445,0.9468,0.9349,0.917,0.8936
8W,F,Fibroblasts_Pi16+,215,100,5,0.932 ± 0.015,0.916 ± 0.020,0.932,0.0146,0.916,0.0196,0.941,0.938,0.9488,0.9315,0.9292,0.9137,0.9309,0.9079,0.9101,0.8888
8W,F,ECs_Artery,147,100,5,0.924 ± 0.032,0.942 ± 0.024,0.9236,0.0321,0.9423,0.0239,0.9414,0.949,0.9433,0.9561,0.8736,0.9185,0.9094,0.9167,0.9503,0.971
8W,F,Macrophages_M2,73,100,5,0.914 ± 0.011,0.856 ± 0.030,0.9138,0.0112,0.8561,0.0299,0.9281,0.9006,0.9065,0.86,0.9224,0.8534,0.9109,0.8495,0.9012,0.8169
8W,F,Adipocytes_3,161,100,5,0.903 ± 0.021,0.878 ± 0.042,0.9033,0.0208,0.8782,0.0424,0.9274,0.9268,0.9057,0.8582,0.9157,0.919,0.8731,0.8301,0.8944,0.8567
8W,F,T_Cells,153,100,5,0.901 ± 0.012,0.908 ± 0.012,0.901,0.0116,0.9076,0.0118,0.9024,0.8975,0.9062,0.8937,0.8882,0.9153,0.9169,0.9215,0.8914,0.91
8W,F,Fibroblasts_Pi16++,129,100,5,0.890 ± 0.035,0.899 ± 0.037,0.89,0.0347,0.8989,0.0369,0.8557,0.8706,0.8572,0.8609,0.9311,0.9519,0.8865,0.8931,0.9194,0.918
8W,F,Adipocytes_Brown,5758,100,5,0.878 ± 0.021,0.891 ± 0.027,0.8778,0.0208,0.8907,0.0274,0.8725,0.8454,0.8746,0.9025,0.848,0.8862,0.9027,0.9041,0.8913,0.9153
8W,F,Macrophages_M2_F13a1+,100,100,5,0.878 ± 0.025,0.929 ± 0.029,0.8776,0.0255,0.9287,0.029,0.8366,0.8812,0.8701,0.9251,0.889,0.939,0.9014,0.9577,0.8907,0.9407
8W,F,ECs_Venous_Fbn1+,94,100,5,0.873 ± 0.043,0.731 ± 0.146,0.8727,0.0435,0.7308,0.1459,0.8897,0.7751,0.8716,0.7311,0.8038,0.5104,0.9228,0.9165,0.8755,0.7209
8W,F,ECs_Venous,44,100,5,0.866 ± 0.007,0.825 ± 0.019,0.8656,0.0069,0.825,0.0186,0.8684,0.8486,0.8619,0.816,0.8748,0.8371,0.8665,0.823,0.8565,0.8005
8W,F,ECs_Lymph_Piezo2+,89,100,5,0.850 ± 0.039,0.775 ± 0.069,0.8496,0.0389,0.7752,0.0694,0.8744,0.8231,0.814,0.6919,0.8029,0.7346,0.8648,0.7608,0.8917,0.8656
8W,F,T_Regs,27,100,5,0.835 ± 0.022,0.752 ± 0.058,0.8353,0.0218,0.7521,0.0583,0.8121,0.6862,0.8454,0.7678,0.846,0.8057,0.8124,0.6951,0.8604,0.8059
8W,F,ECs_Lymph,51,100,5,0.819 ± 0.021,0.841 ± 0.035,0.8189,0.0213,0.8405,0.0345,0.8015,0.8174,0.8243,0.8607,0.7965,0.7925,0.8502,0.8766,0.8219,0.8553
8W,F,Macrophages_M1_Cd80+,34,100,5,0.717 ± 0.021,0.739 ± 0.062,0.7171,0.0213,0.7387,0.0625,0.7121,0.7624,0.7405,0.8009,0.7365,0.7805,0.7068,0.6491,0.6896,0.7007
8W,F,B_Cells_Naive,47,100,5,0.637 ± 0.093,0.604 ± 0.097,0.6367,0.0932,0.6041,0.0968,0.7955,0.7604,0.5941,0.582,0.5709,0.6026,0.6441,0.5812,0.579,0.4944
