Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	Racemase And Epimerase Activity, Acting On Carbohydrates And Derivatives (GO:0016857)	1/10	0.0489003911418304	0.1682757655798449	0	0	22.32435465768799	67.37423003045056	PHACTR1
GO_Molecular_Function_2023	Semaphorin Receptor Activity (GO:0017154)	1/10	0.0489003911418304	0.1682757655798449	0	0	22.32435465768799	67.37423003045056	PLXNA4
GO_Molecular_Function_2023	ATP Binding (GO:0005524)	4/279	0.0514479472805595	0.1682757655798449	0	0	2.9734848484848486	8.822878792301614	ACLY;CDK6;PRAG1;AKT3
GO_Molecular_Function_2023	Organic Acid:Sodium Symporter Activity (GO:0005343)	1/11	0.0536582567508638	0.1682757655798449	0	0	20.09090909090909	58.76831842188268	SLC6A6
GO_Molecular_Function_2023	cAMP Binding (GO:0030552)	1/11	0.0536582567508638	0.1682757655798449	0	0	20.09090909090909	58.76831842188268	PDE4D
GO_Molecular_Function_2023	Neurexin Family Protein Binding (GO:0042043)	1/11	0.0536582567508638	0.1682757655798449	0	0	20.09090909090909	58.76831842188268	SYTL5
GO_Molecular_Function_2023	Monocarboxylate:Sodium Symporter Activity (GO:0140161)	1/12	0.0583925585800791	0.1682757655798449	0	0	18.26354453627181	51.878818604154176	SLC6A6
GO_Molecular_Function_2023	GTPase Regulator Activity (GO:0030695)	5/424	0.0616170740064384	0.1682757655798449	0	0	2.4470543901519908	6.819490991524039	RGS3;RASGRF2;RALGAPA2;PLCB1;RGS7
GO_Molecular_Function_2023	3',5'-cyclic-AMP Phosphodiesterase Activity (GO:0004115)	1/13	0.0631034120924418	0.1682757655798449	0	0	16.74074074074074	46.254339159717055	PDE4D
GO_Molecular_Function_2023	Phosphatidate Phosphatase Activity (GO:0008195)	1/13	0.0631034120924418	0.1682757655798449	0	0	16.74074074074074	46.254339159717055	PLPP3
GO_Molecular_Function_2023	Phosphatidylglycerol Binding (GO:1901611)	1/13	0.0631034120924418	0.1682757655798449	0	0	16.74074074074074	46.254339159717055	UCP1
GO_Molecular_Function_2023	Transmembrane Receptor Protein Tyrosine Kinase Adaptor Activity (GO:0005068)	1/13	0.0631034120924418	0.1682757655798449	0	0	16.74074074074074	46.254339159717055	PIK3R1
GO_Molecular_Function_2023	Insulin-Like Growth Factor Receptor Binding (GO:0005159)	1/13	0.0631034120924418	0.1682757655798449	0	0	16.74074074074074	46.254339159717055	PIK3R1
GO_Molecular_Function_2023	I-SMAD Binding (GO:0070411)	1/13	0.0631034120924418	0.1682757655798449	0	0	16.74074074074074	46.254339159717055	SMAD6
GO_Molecular_Function_2023	Lipid Phosphatase Activity (GO:0042577)	1/13	0.0631034120924418	0.1682757655798449	0	0	16.74074074074074	46.254339159717055	PLPP3
GO_Molecular_Function_2023	Sodium:Chloride Symporter Activity (GO:0015378)	1/13	0.0631034120924418	0.1682757655798449	0	0	16.74074074074074	46.254339159717055	SLC6A6
GO_Molecular_Function_2023	fatty-acyl-CoA Binding (GO:0000062)	1/13	0.0631034120924418	0.1682757655798449	0	0	16.74074074074074	46.254339159717055	PNPLA3
GO_Molecular_Function_2023	1-Phosphatidylinositol-3-Kinase Regulator Activity (GO:0046935)	1/14	0.0677909321684321	0.1721674467769704	0	0	15.452214452214452	41.58695944336839	PIK3R1
GO_Molecular_Function_2023	Alanine Transmembrane Transporter Activity (GO:0022858)	1/14	0.0677909321684321	0.1721674467769704	0	0	15.452214452214452	41.58695944336839	SLC6A6
GO_Molecular_Function_2023	Transmembrane-Ephrin Receptor Activity (GO:0005005)	1/14	0.0677909321684321	0.1721674467769704	0	0	15.452214452214452	41.58695944336839	EPHA4
GO_Molecular_Function_2023	Adrenergic Receptor Binding (GO:0031690)	1/15	0.0724552331756038	0.1730274225089046	0	0	14.347763347763347	37.6598138369901	PDE4D
GO_Molecular_Function_2023	BMP Binding (GO:0036122)	1/15	0.0724552331756038	0.1730274225089046	0	0	14.347763347763347	37.6598138369901	ENG
