	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_id	celltype	group	group1	group2
LOC691254	55.2355086422549	1.2304358997586056	0.331045743454799	3.716815346778834	0.00020174978328330498	0.0034880220888662216	LOC691254	Adipocytes_Brown	diet	Control	HF
LOC691418	4.986638449711017	-1.0429617182910533	0.8991648807396901	-1.159922657825637	0.24608029682287658	0.5264619469344841	LOC691418	Adipocytes_Brown	diet	Control	HF
LOC691422	69.38962161236782	0.8278987578537117	0.29057496740672156	2.849174398064686	0.004383284609099313	0.037686814880520995	LOC691422	Adipocytes_Brown	diet	Control	HF
LOC691519	41.69154823502529	-1.563029191855951	0.42803389538923553	-3.651648172476153	0.0002605626921476018	0.004270889768086011	LOC691519	Adipocytes_Brown	diet	Control	HF
LOC691658	13.808545108235853	-0.16876133868066961	0.6355717439272796	-0.2655268115569009	0.7906036582521357	0.9116108746645273	LOC691658	Adipocytes_Brown	diet	Control	HF
Lacc1	84.09866374879977	1.3559061377883275	0.330736432592818	4.099657625132682	4.137617863957565e-05	0.0008996504148077801	Lacc1	Adipocytes_Brown	diet	Control	HF
Lactb	150.95060284831982	-0.006338691100497599	0.23721582929047963	-0.026721197819963502	0.9786821057525247	0.9928332783455919	Lactb	Adipocytes_Brown	diet	Control	HF
Lactb2	350.1042870887922	-0.1172514137568823	0.23456427351373807	-0.49986902097439434	0.6171673068186035	0.8177067683074021	Lactb2	Adipocytes_Brown	diet	Control	HF
Lag3	14.416964870554574	-1.142855266569367	0.5587065447566444	-2.0455376392040656	0.04080188236237068	0.1779775046069291	Lag3	Adipocytes_Brown	diet	Control	HF
Lage3	26.35411681057379	-0.976917571834116	0.4186030247537235	-2.3337566000839702	0.01960847050823759	0.10860076200101693	Lage3	Adipocytes_Brown	diet	Control	HF
Lama1	4.40278437244674	0.4335736147142821	0.95801771648409	0.45257369175331164	0.6508557463085791	0.8382555099993649	Lama1	Adipocytes_Brown	diet	Control	HF
Lama2	15.238443132370266	0.6445349377959954	1.0162466074888248	0.6342308383086859	0.5259301848122149	0.7601195357024833	Lama2	Adipocytes_Brown	diet	Control	HF
